Business DBA,Business Type,Location 1
WHITE HORSE,RESTAURANT-BAR,"10221 OAK
TRFWAY 64155
(39.276011765000476, -94.57057970099964)"
WHOPPER BAR,RESTAURANT-BAR,"1350 WALNUT
64105
(39.10363236100045, -94.58633903699968)"
WINGSTOP RESTAURANT,RESTAURANT-BAR,"4313 CHOUTEAU
TRFWAY 64117
(39.16955044000048, -94.52732951699966)"
WINSLOW'S BAR-B-QUE,RESTAURANT-BAR,"20 5TH STREET
64106
(39.10856082000049, -94.58163112799969)"
"WOODSWEATHER CAFE, THE",RESTAURANT-BAR,"1414 9TH STREET
64101
(39.10426915400046, -94.60188612399969)"
WOODSWETHER II,RESTAURANT-BAR,"2510 VIVION ROAD
64118
(39.18556093800049, -94.54993068799968)"
WORLDS OF FUN/OCEANS OF FUN,RESTAURANT-BAR,"4545 WORLDS OF FUN AVENUE
64161
(39.17560060900047, -94.4924202739997)"
WORTH PARK,RESTAURANT-BAR,"9420 PRAIRIE VIEW ROAD
64153
(39.26552081000045, -94.66414125799969)"
ZOCALO,RESTAURANT-BAR,"614 620
64112
(39.03982161100049, -94.5913966229997)"
6902 CLUB,TAVERN,"6902 PROSPECT AVENUE
64132
(39.00150184200049, -94.55676770799965)"
AFRO BEAT BAR & GRILL,TAVERN,"9922 HOLMES ROAD
64131
(38.94776899600049, -94.58241793199966)"
AJ'S  BAR,TAVERN,"2618 INDEPENDENCE AVENUE
64124
(39.10633737900048, -94.55057408299967)"
AMERICAN HEARTLAND THEATRE,TAVERN,"2450 GRAND AVENUE
64108
(39.08256072100045, -94.58180051399967)"
AMERICAN LEGION POST #61,TAVERN,"5125 BELLAIRE AVENUE
64119
(39.18690104300049, -94.51082107199966)"
AMERICA'S PUB,TAVERN,"510 WESTPORT ROAD
64111
(39.05271827900049, -94.59178572499968)"
AMIGONI URBAN WINERY,TAVERN,"1505 GENESSEE
64102
(39.09627969900049, -94.60480932099966)"
ANGEL'S ROCK BAR,TAVERN,"1321 WALNUT
64106
(39.098269993000486, -94.58213275399964)"
ARTHUR'S LOUNGE,TAVERN,"8158 PRAIRIE VIEW ROAD
64151
(39.24244615900045, -94.65883247599965)"
ASKEW INN,TAVERN,"3600 INDEPENDENCE AVENUE
64124
(39.105870241000446, -94.53889067099965)"
ATHLETIC & GOLF CLUB AT MAPLE CREEK,TAVERN,"5330 OAK RIDGE DRIVE
64119
(39.1909801220005, -94.51501076999966)"
"AURA, KANSAS CITY",TAVERN,"3832 MAIN STREET
64111
(39.0577517320005, -94.58606158699968)"
BACCALA,TAVERN,"4700 4704 INDEPENDENCE AVENUE
64124
(39.105533412000455, -94.52706398099969)"
"BALTIMORE CLUB,THE",TAVERN,"1228 BALTIMORE
64105
(39.09889086600049, -94.58433092599967)"
"BEAUMONT CLUB, THE",TAVERN,"4050 PENNSYLVANIA
64111
(39.053300814000465, -94.59179080199965)"
BENJAMIN RANCH,TAVERN,"6401 87TH STREET
64138
(38.96720112300045, -94.51453026899969)"
BERG  EVENT SPACE,TAVERN,"1525 GRAND
64108
(39.09532291000045, -94.58111166599969)"
BLACK & GOLD TAVERN,TAVERN,"3740 BROADWAY
64111
(39.059681002000445, -94.5905705349997)"
BLARNEY STONE,TAVERN,"3801 BROADWAY BLVD
64111
(39.05847213600049, -94.59058843699967)"
BLUE HILLS COUNTRY CLUB,TAVERN,"777 BURNING TREE DRIVE
64145
(38.89929498400045, -94.60406614999965)"
BLUE RIDGE MEMORIAL POST #9997,TAVERN,"6801 WILSON ROAD
64125
(39.108330364000494, -94.50232068499969)"
"BLUE ROOM, THE",TAVERN,"1616 18TH STREET
64108
(39.09120053400045, -94.56314045299968)"
BLVD NIGHTS,TAVERN,"2801 2805 SOUTHWEST BLVD
64108
(39.077030918000446, -94.60166010099965)"
BOBBY BAKER'S LOUNGE,TAVERN,"7418 WORNALL ROAD
64114
(38.99307101500045, -94.59428088399966)"
BOBS N MOTION,TAVERN,"5709 TROOST AVENUE
64110
(39.02314097600049, -94.57404104499966)"
BOJOS,TAVERN,"5410 ANTIOCH ROAD
64119
(39.19258433500045, -94.54873434899969)"
BOOMERS BAR & GRILL,TAVERN,"7932 OAK
TRFWAY 64118
(39.21427358200049, -94.57336919499966)"
BOOZEFISH WINE BAR,TAVERN,"1511 WESTPORT ROAD
64111
(39.05009842400045, -94.60413416599965)"
BOULEVARD BREWING COMPANY,TAVERN,"2501 SOUTHWEST BLVD
64108
(39.082351006000465, -94.59690002199966)"
BUDDIES LOUNGE,TAVERN,"3715 MAIN STREET
64111
(39.059760510000444, -94.58591070499966)"
BUZZARD BEACH,TAVERN,"4110 PENNSYLVANIA AVENUE
64111
(39.05238014100047, -94.59106025499966)"
CADDYSHACK PUB & DELI,TAVERN,"700 3RD STREET
64106
(39.111350496000455, -94.5759503759997)"
CELLAR AND LOFT II,TAVERN,"525 WALNUT
64106
(39.108289983000475, -94.58151212499968)"
"CENTRAL EXCHANGE, THE",TAVERN,"1020 CENTRAL STREET
64105
(39.10151000400049, -94.58695006399967)"
CHASE SUITE HOTEL-KANSAS CITY,TAVERN,"9900 PRAIRIE VIEW ROAD
64153
(39.274591269000496, -94.67122877499969)"
CHEZ CHARLIE,TAVERN,"3809 BROADWAY STREET
64111
(39.058350576000464, -94.59059737499967)"
CHROME,TAVERN,"7400 US 40 HIGHWAY
64129
(39.06654053900047, -94.49646017699968)"
CLARION SPORTS COMPLEX,TAVERN,"4011 BLUE RIDGE
CUTOFF 64133
(39.0497005310005, -94.47555144499967)"
CLUB SKYLINE,TAVERN,"8625 TROOST
64131
(38.97138823300048, -94.5766277409997)"
CZAR BAR,TAVERN,"1531 GRAND BLVD
64108
(39.09468042700047, -94.58119095599966)"
DAILY LIMIT CAFE & PUB THE,TAVERN,"523 RED BRIDGE ROAD
64131
(38.92580418300048, -94.58563616199967)"
DAVE'S STAGECOACH INN,TAVERN,"316 WESTPORT ROAD
64111
(39.05379761100045, -94.5895331269997)"
DAVEY'S UPTOWN RAMBLERS CLUB,TAVERN,"3402 MAIN STREET
64111
(39.06535446300046, -94.58562830899967)"
DB COOPERS,TAVERN,"1804 39TH STREET
64111
(39.05733719700049, -94.6064355099997)"
D'BARB & GRILL,TAVERN,"11129 OAK
TRFWAY 64155-1167
(39.295680555000445, -94.57534064099968)"
DRURY INN & SUITES KANSAS CITY AIRPORT,TAVERN,"7900 TIFFANY SPRINGS PARKWAY
64153
(39.27276105800047, -94.6712210829997)"
DRURY INN & SUITES KANSAS CITY STADIUM,TAVERN,"3830 BLUE RIDGE
CUTOFF 64133
(39.01553303000048, -94.45947791099968)"
EL MOLINO RESTAURANT BAR,TAVERN,"5510 TRUMAN ROAD
64127
(39.09408008800045, -94.51814036999968)"
EMBRACE THE GRAPE BEVERAGE CATERING,TAVERN,"435 NICHOLS ROAD
64112
(39.04124244200045, -94.59233709499966)"
"EMPIRE ROOM, THE",TAVERN,"334 31ST
64108
(39.08507049800045, -94.58158994599967)"
ERNIE BIGGS DUELING PIANO BAR,TAVERN,"4115 MILL STREET
64111
(39.0516000450005, -94.59168018299965)"
EVENT 1000,TAVERN,"1000 BROADWAY
64105
(39.10212071400048, -94.58832012699969)"
FUNKY TOWN,TAVERN,"8300 BLUE PARKWAY
64133
(38.988984151000466, -94.4665986659997)"
"GARMENT DISTRICT, THE",TAVERN,"1350 MAIN
64105
(39.09759951200044, -94.58332752199965)"
GILHOULY'S,TAVERN,"1721 39TH STREET
64111
(39.05725713200047, -94.60523704799965)"
GOLDEN BAR,TAVERN,"4222 9TH STREET
64124
(39.10193058700048, -94.53185022499969)"
GQ RESTAURANT & LOUNGE,TAVERN,"4551 PROSPECT AVENUE
64130
(39.04291068400045, -94.55423100599967)"
GREEN DUCK LOUNGE,TAVERN,"2548 PROSPECT AVENUE
64127
(39.07910041700046, -94.55238044099968)"
GREEN LADY LOUNGE,TAVERN,"1809 GRAND AVENUE
64108
(39.091360702000486, -94.5813511239997)"
"GUILD, THE",TAVERN,"1621 LOCUST
64108
(39.093520078000495, -94.57770069399965)"
GUSTO,TAVERN,"504 WESTPORT ROAD
64111
(39.05272006500047, -94.59171014299966)"
HARLING'S UPSTAIRS,TAVERN,"3941 MAIN STREET
64111
(39.055450436000456, -94.58612639299969)"
HEART OF AMERICA GOLF COURSE,TAVERN,"7501 BLUE RIVER ROAD
64132
(38.986638568000444, -94.52741256499968)"
HILLCREST GOLF & COUNTRY CLUB,TAVERN,"8200 HILLCREST ROAD
64138
(38.97706400600049, -94.52070261599965)"
HIWAY HOUSE,TAVERN,"4071 PRATHER ROAD
64116
(39.16913054300045, -94.54988113999968)"
HODGE PARK GOLF COURSE,TAVERN,"7000 BARRY ROAD
64155
(39.245832417000486, -94.59176791199968)"
HOMEWOOD SUITES KCI,TAVERN,"7312 POLO DRIVE
64153
(39.274700350000444, -94.66393059299969)"
HOTEL,TAVERN,"1300 GRAND
64106
(39.09844578500048, -94.58102925899965)"
HOTEL PHILLIPS,TAVERN,"106 12TH STREET
64106
(39.09991400500047, -94.58191356899965)"
HOWL AT THE MOON,TAVERN,"1334 GRAND BLVD
64106
(39.09798608500046, -94.58105593999966)"
J.C.'S SPORTS BAR,TAVERN,"6135 VIVION ROAD
64119
(39.19480109000045, -94.5076603609997)"
JOHN'S BIG DECK,TAVERN,"928 WYANDOTTE
64105
(39.102730272000485, -94.58545094499965)"
"JONES, THE",TAVERN,"1271 MAIN STREET
"
KANSAS CITY LODGE 26 BPOE,TAVERN,"515 99TH STREET
64131
(38.948400484000445, -94.58527003599966)"
KANSAS CITY REPERTORY  THEATRE,TAVERN,"4949 CHERRY STREET
64110
(39.03656045600047, -94.58069086599966)"
KANSAS CITY SOCCER DOME,TAVERN,"5909 EQUITABLE ROAD
64120
(39.13718005700048, -94.51219113599967)"
KC AERIE #47 FRATERNAL O,TAVERN,"10220 47TH STREET
64133
(39.03732096200048, -94.45795089999967)"
KC Ice,TAVERN,"6109 63RD TERRACE
64151
(39.20932779500049, -94.6512716209997)"
KELLY'S WESTPORT INN,TAVERN,"500 WESTPORT ROAD
64111
(39.05282742500049, -94.59155287999965)"
KING LOUIE NORTHLAND,TAVERN,"217 VIVION ROAD
64118
(39.18121107200045, -94.5786305849997)"
KNUCKLEHEADS,TAVERN,"2715 ROCHESTER STREET
64120
(39.12063619200046, -94.54891256399969)"
LAFFERTY'S LOUNGE,TAVERN,"6301 BLUE PARKWAY
64129
(39.03180037800047, -94.51222109499969)"
LAS PLEBES,TAVERN,"3019 12TH STREET
64127
(39.09866041100048, -94.54635054599964)"
LEGS,TAVERN,"13200 US 350 HIGHWAY
64138
(38.97012337700045, -94.47911733499967)"
"LEVEE, THE",TAVERN,"16 18 W 43RD STREET
64111
(39.049380750000466, -94.58741097699965)"
LUNA,TAVERN,"1520 GRAND BLVD
64108
(39.09501113200048, -94.58117021499964)"
MAC'S LOUNGE,TAVERN,"11814 11816 BLUE RIDGE BLVD
64134
(38.909630791000495, -94.52174009999965)"
MADRIGALL,TAVERN,"1627 OAK
64108
(39.09403299200045, -94.57879930099966)"
"MAIN EVENT, THE",TAVERN,"4000 MULBERRY DRIVE
64116
(39.167042978000495, -94.59530717199965)"
"MATCHBOX, THE",TAVERN,"2853 SOUTHWEST BLVD
64108
(39.07575073200047, -94.60281007799966)"
MIDLAND THEATRE / INDIE ON MAIN,TAVERN,"1228 MAIN STREET
64106
(39.09575331800045, -94.5833760599997)"
MIKE KELLY'S WESTSIDER,TAVERN,"1515 WESTPORT ROAD
64111
(39.05013088600049, -94.60430113099966)"
MIKE'S TAVERN,TAVERN,"5424 TROOST
64110
(39.02794023200045, -94.57377025799968)"
MINIBAR,TAVERN,"3810 BROADWAY
64111
(39.057700758000465, -94.59071179599965)"
MINOR PARK GOLF COURSE,TAVERN,"11215 HOLMES ROAD
64131
(38.92260126000048, -94.58357641799967)"
MISSIE B'S,TAVERN,"805 39TH STREET
64111
(39.05693791100049, -94.59589987399966)"
MOSAIC,TAVERN,"1331 WALNUT STREET
64106
(39.0980405360005, -94.58214537699968)"
MOXIE BAR &  GRILL,TAVERN,"4011 OAK
TRFWAY 64116
(39.157762440000454, -94.57280868899966)"
MUTUAL MUSICIAN'S FOUNDATION,TAVERN,"1823 HIGHLAND
64108
(39.090281012000446, -94.56218060199967)"
NATHAN F. LAMAR MEMORIAL POST 5606,TAVERN,"5406 OAK RIDGE ROAD
64119
(39.19300007300046, -94.51349090999969)"
OFF CENTER STAGE/ AMERICAN HEARTLAND THEATRE,TAVERN,"2450 GRAND BLVD
64108
(39.08256072100045, -94.58180051399967)"
OLD FOLK'S LOUNGE,TAVERN,"4805 24TH STREET
64127
(39.08209059000046, -94.52739089199969)"
OLIVER'S RESTAURANT & LOUNGE,TAVERN,"2301-A 12TH STREET
64127
(39.09895951600049, -94.55475168899966)"
ONE 3 STUDIOS,TAVERN,"419 18TH STREET
64108
(39.09162111700044, -94.57802102799968)"
ONE EYED JACKS FSB,TAVERN,"5044 PARVIN ROAD
64117
(39.167051263000474, -94.52100069399967)"
PATRICK'S BAR & NO GRILL,TAVERN,"8251 WORNALL ROAD
64114
(38.97862377100046, -94.59483264999966)"
PBR BIG SKY COWBOY BAR,TAVERN,"111 13TH STREET
64106
(39.09852509900048, -94.58204310499968)"
PEARL'S LOUNGE,TAVERN,"8736 BLUE RIDGE BLVD
64138
(38.965381025000454, -94.4997782109997)"
"PIANO ROOM, THE",TAVERN,"8410 WORNALL ROAD
64114
(38.9756668710005, -94.59504248299965)"
POCKETS,TAVERN,"424 103RD STREET
64114
(38.94161871500046, -94.59698621099966)"
"POINT BAR,THE",TAVERN,"917 44TH STREET
64111
(39.04804064600046, -94.59791057399968)"
POKE A DOT LOUNGE.,TAVERN,"8934 WORNALL
64114
(38.96590013700046, -94.59551362599967)"
"PROMISE WEDDING & EVENT SPACE,THE",TAVERN,"1814 OAK STREET
64108
(39.09111065600047, -94.57896013799967)"
PR'S  PLACE,TAVERN,"1741 WASHINGTON
64108
(39.09150012700047, -94.58996097699969)"
"QUARTERAGE HOTEL, THE",TAVERN,"560 WESTPORT ROAD
64111
(39.051990669000475, -94.59328070299966)"
QUDOS,TAVERN,"1114 1116
GRAND 64106
(39.10426238700046, -94.57450758699969)"
QUINTON'S WALDO BAR & DELI,TAVERN,"7438 WORNALL ROAD
64114
(38.993034863000446, -94.59431868499968)"
RAIN,TAVERN,"8015 TROOST AVENUE
64131
(38.98247001700048, -94.57613013199966)"
RED FRONT,TAVERN,"310 ADMIRAL BLVD
64105
(39.10363236100045, -94.58633903699968)"
REMEDY FOOD & DRINK,TAVERN,"500 75TH STREET
64114
(38.99253116000045, -94.59542031699965)"
RESIDENCE INN BY MARRIOTT,TAVERN,"4601 BROADWAY STREET
64112
(39.044000896000455, -94.59140354799968)"
RESIDENCE INN KANSAS CITY  UNION HILL,TAVERN,"2975 MAIN STREET
64108
(39.073140813000464, -94.58525044699968)"
RETRO,TAVERN,"1518 MCGEE STREET
64108
(39.09506068000047, -94.57997068899965)"
RICHEY'S CLUB,TAVERN,"11527 HICKMAN MILL DRIVE
64134
(38.91545592600045, -94.52369281499966)"
RIOT ROOM THE,TAVERN,"4048 BROADWAY BLVD
64111
(39.05384917100048, -94.5909016009997)"
"RIVER CLUB, THE",TAVERN,"611 8TH STREET
64105
(39.104810141000485, -94.59118009199966)"
RIVER'S EDGE,TAVERN,"1036 AGNES AVENUE
64120
(39.127550434000455, -94.54552090299967)"
ROYAL MEADOWS GOLF  COURSE,TAVERN,"10501 47TH STREET
64133
(39.03725067300047, -94.45633079099969)"
SAND TRAP THE,TAVERN,"13037 HOLMES ROAD
64145
(38.89068452100048, -94.58591148999966)"
SANKOFA CAFE,TAVERN,"4240 INDIANA
64130
(39.048190442000475, -94.54473043799965)"
"SCENE, THE",TAVERN,"14816 US 40 HIGHWAY
64136
(39.0352288900005, -94.40568404499965)"
SHADY LADY LOUNGE,TAVERN,"2800 12TH STREET
64127
(39.098750288000474, -94.54908030399969)"
SHARK BAR,TAVERN,"1340 GRAND BLVD
64106
(39.09793611800046, -94.5810585159997)"
SHOAL CREEK GOLF COURSE,TAVERN,"8905 SHOAL CREEK PARKWAY
64157
(39.25383441700046, -94.48726225199965)"
SHOOTER'S,TAVERN,"4108 OAK
TRFWAY 64116
(39.157762440000454, -94.57280868899966)"
SIDEKICKS,TAVERN,"3707 MAIN STREET
64111
(39.059980780000444, -94.5858550429997)"
SIDESTREET BAR & GRILL,TAVERN,"413 33RD STREET
64109
(39.06626691000048, -94.57974898899965)"
SOCIAL,TAVERN,"1118 MCGEE STREET
64106
(39.100340438000444, -94.57972064499967)"
STALEY FARMS GOLF CLUB.,TAVERN,"10310 OLIVE STREET
64155
(39.2878625350005, -94.55030905899969)"
STEVE AND RITA'S ANTOINETTES RESTAURANT,TAVERN,"4545 BRIGHTON AVENUE
64117
(39.177020221000475, -94.52135062799965)"
SWAGGER,TAVERN,"8431 33 WORNALL ROAD
64114
(38.958300617000475, -94.59572859299965)"
SWOPE MEMORIAL GOLF COURSE,TAVERN,"6900 SWOPE MEMORIAL DRIVE
64132
(38.98687337400048, -94.55216991399965)"
TEETERING ROCKS,TAVERN,"12040 86TH STREET
64138
(38.96509014100047, -94.43884029699967)"
TERI'S BIGGER JIGGER,TAVERN,"6120 ST JOHN AVENUE
64123
(39.11214096200047, -94.50958006399969)"
"TERRACE ON GRAND,THE",TAVERN,"1520 GRAND BLVD
64108
(39.09501113200048, -94.58117021499964)"
TIFFANY GREENS GOLF CLUB,TAVERN,"5900 TIFFANY SPRINGS PARKWAY
64153
(39.27215050700045, -94.67268840099968)"
TOMMY FARHA'S CAFE BAR,TAVERN,"8019 WORNALL ROAD
64114
(38.982240713000465, -94.59470031499967)"
UNICORN THEATRE,TAVERN,"3820 3828 MAIN STREET
64111
(39.05781832700046, -94.58605751699969)"
"UNION OF WESTPORT, THE",TAVERN,"415 421 WESTPORT ROAD
64111
(39.05315330800045, -94.59072718399966)"
UPTOWN ARTS BAR,TAVERN,"3611 BROADWAY
64111
(39.06179083100045, -94.59048065699966)"
VELVET DOG,TAVERN,"400 31ST STREET
64128
(39.068642541000486, -94.51599767399966)"
VFW POST #1829,TAVERN,"5904 CRYSTAL AVENUE
64129
(39.01729599900045, -94.50239552899967)"
VOLLEYBALL  BEACH,TAVERN,"13105 HOLMES ROAD
64145
(38.88907061700047, -94.58606050199967)"
WALSH'S CORNER COCKTAILS,TAVERN,"304 85TH STREET
64114
(38.974184069000444, -94.59427041399965)"
WESTPORT SALOON,TAVERN,"4112 PENNSYLVANIA AVENUE
64111
(39.05230935600048, -94.5910488189997)"
"WINE BAR, THE",TAVERN,"13657 WASHINGTON STREET
64145
(38.88223946500045, -94.60132673299967)"
Z STRIKE,TAVERN,"1370 GRAND BLVD
64106
(39.09752038000045, -94.58107919599968)"
"ZOO, THE",TAVERN,"1220 MCGEE STREET
64106
(39.09964879500046, -94.57978065899965)"
