Business DBA,Business Type,Location 1
CAFE SEBASTIENNE,RESTAURANT-BAR,"4420A WARWICK BLVD
64111
(39.04693131100049, -94.58438277999966)"
CAFE TRIO,RESTAURANT-BAR,"4558 MAIN
64111
(39.04443164300045, -94.58681768799966)"
CALIFORNIA PIZZA KITCHEN,RESTAURANT-BAR,"4743 PENNSYLVANIA AVENUE
64112
(39.04088003600049, -94.59356710199967)"
CALIFORNOS,RESTAURANT-BAR,"4124 PENNSYLVANIA AVENUE
64111
(39.05187423200044, -94.59071996399967)"
CANCUN FIESTA FRESH,RESTAURANT-BAR,"4019 PENNSYLVANIA
64111
(39.05449379000049, -94.5927050309997)"
"CAPITAL GRILLE OF KANSAS CITY, THE",RESTAURANT-BAR,"4740 JEFFERSON AVENUE
64112
(39.041156232000446, -94.5949183679997)"
CARMENS CAFE,RESTAURANT-BAR,"6307 BROOKSIDE PLAZA
64113
(39.01379467200047, -94.59063244199967)"
CARRIAGE CLUB,RESTAURANT-BAR,"5301 STATE LINE ROAD
64112
(39.03369012100046, -94.60750101999969)"
CASCONE'S RESTAURANT #2,RESTAURANT-BAR,"3733 OAK
TRFWAY 64116
(39.157762440000454, -94.57280868899966)"
"CASHEW, THE",RESTAURANT-BAR,"2000 GRAND BLVD
64108
(39.088851030000455, -94.58150092099964)"
CATERED EVENT 7/12/2010,RESTAURANT-BAR,"1 ARROWHEAD DRIVE
64129
(39.04873086300046, -94.48629013199968)"
CATERED EVENT 8/22/2011,RESTAURANT-BAR,"1 ARROWHEAD DRIVE
64129
(39.04873086300046, -94.48629013199968)"
"CATERED EVENT DEC 31,2011",RESTAURANT-BAR,"414 103RD STREET
64114
(38.94161605300047, -94.59688374399968)"
CHAMP'S LOUNGE & GRILL,RESTAURANT-BAR,"3900 JACKSON AVENUE
64128
(39.05483030400046, -94.53513729799965)"
CHARLIE HOOPERS,RESTAURANT-BAR,"12 63RD STREET
64113
(39.01384090500045, -94.58781081899969)"
CHAZ ON THE PLAZA,RESTAURANT-BAR,"325 WARD PARKWAY
64112
(39.039850222000496, -94.59150042699969)"
"CHEESECAKE FACTORY, THE",RESTAURANT-BAR,"4701 WYANDOTTE STREET
64112
(39.04179066600045, -94.58911059299965)"
CHELLY'S CAFE,RESTAURANT-BAR,"214 85TH STREET
64114
(38.97417294100046, -94.59397632799966)"
CHEZ ELLE,RESTAURANT-BAR,"1711 13 SUMMIT
64108
(39.08507049800045, -94.58158994599967)"
CHILI'S GRILL &  BAR,RESTAURANT-BAR,"8350 ROANRIDGE ROAD
64151
(39.24581032600048, -94.65582082899965)"
CHILI'S GRILL & BAR,RESTAURANT-BAR,"9600 BARRY ROAD
64157
(39.244887684000446, -94.46165043499968)"
CHIPOTLE MEXICAN GRILL #1,RESTAURANT-BAR,"501 03 W 75TH STREET
64114
(38.99212799200046, -94.58969480499968)"
CHIPOTLE MEXICAN GRILL #2,RESTAURANT-BAR,"4851 MAIN STREET
64112
(39.03891959800046, -94.58707060999967)"
CHIPOTLE MEXICAN GRILL #4,RESTAURANT-BAR,"8600 BOARDWALK AVENUE
64154
(39.252550736000444, -94.65370241899967)"
CHIPOTLE MEXICAN GRILL #6,RESTAURANT-BAR,"4151 STERLING AVENUE
64133
(39.046519946000444, -94.44760008599968)"
CHIPOTLE MEXICAN GRILL #7,RESTAURANT-BAR,"203-I ENGLEWOOD ROAD
64118
(39.19687716100049, -94.5835894229997)"
CHIPOTLE MEXICAN GRILL #736,RESTAURANT-BAR,"8700 FLINTLOCK AVENUE
64157
(39.27803219200047, -94.47222615699968)"
CHIPOTLE MEXICAN GRILL #776,RESTAURANT-BAR,"13127 STATE LINE ROAD
64145
(38.890262850000454, -94.60792989099969)"
CHIPOTLE MEXICAN GRILL#3,RESTAURANT-BAR,"1713 39TH STREET
64111
(39.05729001600048, -94.60557094699965)"
CHIPOTLE MEXICAN GRILL#5,RESTAURANT-BAR,"1370 WALNUT
64106
(39.09753117500048, -94.58223775899967)"
CHUCK E. CHEESE'S,RESTAURANT-BAR,"9196 SKYVIEW AVENUE
64154
(39.26122568800048, -94.65582441099968)"
CHUY'S,RESTAURANT-BAR,"209 46TH TERRACE
64112
(39.043168241000444, -94.58841756699968)"
"CIGAR BOX, THE",RESTAURANT-BAR,"1519 GRAND BLVD
64108
(39.09510101000046, -94.5811609969997)"
CISCO'S CANTINA,RESTAURANT-BAR,"10235 OAK
TRFWAY 64155
(39.276011765000476, -94.57057970099964)"
CLARION HOTEL AIRPORT,RESTAURANT-BAR,"11828 PLAZA CIRCLE
64153
(39.3085601680005, -94.68397108799968)"
"CLASSIC COOKIE, THE",RESTAURANT-BAR,"409 GREGORY BLVD
64114
(38.99956476900047, -94.5939996949997)"
CLASSIC CUP CAFE,RESTAURANT-BAR,"301 47TH STREET
64112
(39.042290756000455, -94.59066041299968)"
COACH'S,RESTAURANT-BAR,"414 422 W 103RD STREET
64114
(38.94161818200047, -94.5969657179997)"
COAL VINES,RESTAURANT-BAR,"616 618 WARD PARKWAY
64112
(39.040018133000444, -94.59471583299967)"
CODA,RESTAURANT-BAR,"1744 BROADWAY BLVD
64108
(39.09122012300048, -94.5888409589997)"
"CORNER RESTAURANT,THE",RESTAURANT-BAR,"4059 BROADWAY
64111
(39.05378021600046, -94.59046924099965)"
COURTYARD BY  MARRIOTT,RESTAURANT-BAR,"4000 MULBERRY
64116
(39.157762440000454, -94.57280868899966)"
COURTYARD BY MARRIOTT,RESTAURANT-BAR,"4600 JC NICHOLS PARKWAY
64112
(39.043560572000445, -94.58832012699969)"
COURTYARD BY MARRIOTT- 1,RESTAURANT-BAR,"500 105TH STREET
64131
(38.93824081000048, -94.58612042099969)"
COURTYARD BY MARRIOTT- 2,RESTAURANT-BAR,"7901 TIFFANY SPRINGS PARKWAY
64153
(39.2724003940005, -94.67174076199967)"
CROWN CENTER RESTAURANTS BY SHERATON,RESTAURANT-BAR,"2450 GRAND BLVD
64108
(39.08256072100045, -94.58180051399967)"
CROWNE PLAZA HOTEL,RESTAURANT-BAR,"1301 WYANDOTTE DRIVE
64105
(39.098572266000474, -94.58562457499966)"
CUPINI'S.,RESTAURANT-BAR,"1809 1813
WESTPORT 64111
(39.05550273500046, -94.59306944999969)"
DANNY EDWARDS BOULEVARD BARBECUE,RESTAURANT-BAR,"2908 SOUTHWEST BLVD
64108
(39.07519268200048, -94.60353167199969)"
DANNY'S BIG EASY,RESTAURANT-BAR,"1601 18TH STREET
64108
(39.09120053400045, -94.56295032599968)"
DAS HAUS,RESTAURANT-BAR,"3044 GILLHAM ROAD
64108
(39.071223302000476, -94.57889531999967)"
DAVE'S GRILL & SPORTS BAR,RESTAURANT-BAR,"2934 SOUTHWEST BLVD
64108
(39.0744302170005, -94.60457076599965)"
DICARLO'S MUSTARD SEED,RESTAURANT-BAR,"15015 US 40 HIGHWAY
64136
(39.03493112900048, -94.39949100499967)"
DICKEY'S BARBECUE  PIT,RESTAURANT-BAR,"9000 SKYVIEW AVENUE
64154
(39.258411158000456, -94.6520735369997)"
DIRKS BAR AND GRILL,RESTAURANT-BAR,"8128 8134 NW PRAIRIE VIEW ROAD
64151
(39.24191116300045, -94.65884058299969)"
DIRTY BIRD LOUNGE,RESTAURANT-BAR,"6600 BLUE RIDGE BLVD
64133
(39.003930124000476, -94.48219031199966)"
DISABLED AMERICAN VETERANS,RESTAURANT-BAR,"8787 OLD SANTA FE ROAD
64138
(38.96467712100048, -94.50172508299966)"
DISTRICT POUR HOUSE & KITCHEN,RESTAURANT-BAR,"7122 WORNALL
64114
(38.9991247640005, -94.59388525499969)"
DOMINIC'S FAST ITALIAN,RESTAURANT-BAR,"6209 63RD TERRACE
64151
(39.209841189000485, -94.6529109499997)"
DOMO SUSHI,RESTAURANT-BAR,"6322 BROOKSIDE PLAZA
64113
(39.013538267000456, -94.59072153299968)"
DOS DE OROS,RESTAURANT-BAR,"13027 13029 HOLMES ROAD
64145
(38.89094864900045, -94.58589914899966)"
"DROP  ,THE",RESTAURANT-BAR,"409 31ST STREET
64128
(39.068642541000486, -94.51599767399966)"
"DRUNKEN FISH,THE",RESTAURANT-BAR,"14 14TH STREET
64106
(39.09726478200048, -94.58304604899968)"
"DUBLINER,THE",RESTAURANT-BAR,"170 14TH
64106
(39.10426238700046, -94.57450758699969)"
DUKES ON GRAND,RESTAURANT-BAR,"1501 GRAND BLVD
64108
(39.09557114100045, -94.58114025599968)"
DUO EAST AFRICA RESTAURANT,RESTAURANT-BAR,"3415 MAIN
64111
(39.06507022700049, -94.58561111099965)"
EBT,RESTAURANT-BAR,"1310 CARONDELET DRIVE
64114
(38.93512042900045, -94.6061908749997)"
EDEN ALLEY CAFE & CATERING,RESTAURANT-BAR,"707 47TH STREET
64112
(39.04240022400046, -94.59504023899967)"
EGG T.C.,RESTAURANT-BAR,"5107 MAIN STREET
64112
(39.0346142410005, -94.58728815099965)"
EL MAGUEY 1,RESTAURANT-BAR,"7831 OAK
TRFWAY 64118
(39.21427358200049, -94.57336919499966)"
EL PATRON COCINA,RESTAURANT-BAR,"2905 SOUTHWEST BLVD
64108
(39.07541080900046, -94.6032007019997)"
EL PUEBLITO RESTAURANT,RESTAURANT-BAR,"810 SOUTHWEST BLVD
64108
(39.08456803600046, -94.59413475999969)"
EM CHAMAS BRAZILIAN GRILL,RESTAURANT-BAR,"6101 63RD TERRACE
64151
(39.20928923700046, -94.65114962599966)"
EMBASSY SUITES DINING,RESTAURANT-BAR,"220 43RD STREET
64111
(39.04947062800045, -94.58941018699966)"
EMBASSY SUITES HOTEL,RESTAURANT-BAR,"7640 TIFFANY SPRINGS PARKWAY
64153
(39.27427378400046, -94.66662553699967)"
EPICUREAN RESTAURANT & LOUNGE,RESTAURANT-BAR,"7502 TROOST AVENUE
64131
(38.99139367000049, -94.57569248999965)"
"ESCAPE EATERY AND DRINKERY,THE",RESTAURANT-BAR,"240 BARRY ROAD
64155
(39.2464335950005, -94.58373615999966)"
"FARM HOUSE, THE",RESTAURANT-BAR,"300 DELAWARE STREET
64105
(39.109280997000496, -94.5844703519997)"
FAT FISH BLUES AND IMPROV COMEDY CLUB,RESTAURANT-BAR,"7260 87TH STREET
64153
(39.251629625000476, -94.66394115299966)"
FIORELLA'S  JACK STACK  PLAZA,RESTAURANT-BAR,"4747 WYANDOTTE
64112
(39.04134001500046, -94.58892143299965)"
FIORELLA'S  JACK STACK FRIEGHT HOUSE,RESTAURANT-BAR,"101 22ND STREET
64108
(39.08774260400048, -94.58499061199967)"
